C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D1:1
JP1:1
L1:1
M1:1
R1:1
R2:1
REF1:1
REF2:1
REF3:1
REF4:1
REF5:1
SW1:1
U1:1
Y1:1
